ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-02-18T00:00:00Z,2004.3219600957912,588.4391953497085,588.4391953497085,588.4391953497085,828.0560808315347,828.0560808315347,828.0560808315347,-239.61688548182636,-239.61688548182636,-239.61688548182636,0,0,0,-70.90253767972524,5293.401772639609,2004.3219600957912,2004.3219600957912,2592.7611554454998
2022-02-19T00:00:00Z,2004.7574666455557,-1637.7888253597823,-1637.7888253597823,-1637.7888253597823,-1408.4757928627619,-1408.4757928627619,-1408.4757928627619,-229.3130324970206,-229.3130324970206,-229.3130324970206,0,0,0,-2508.0253299954356,2984.146512447967,2004.7574666455557,2004.7574666455557,366.9686412857734
2022-02-20T00:00:00Z,2005.19297319532,-2272.0135217645843,-2272.0135217645843,-2272.0135217645843,-2056.770894196427,-2056.770894196427,-2056.770894196427,-215.2426275681577,-215.2426275681577,-215.2426275681577,0,0,0,-3190.937367468512,2461.5916852553887,2005.19297319532,2005.19297319532,-266.82054856926425
2022-02-21T00:00:00Z,2005.6284767616405,20.64402765509326,20.64402765509326,20.64402765509326,218.0291976846287,218.0291976846287,218.0291976846287,-197.38517002953537,-197.38517002953537,-197.38517002953537,0,0,0,-613.6017740295347,4595.176508030328,2005.6284767616405,2005.6284767616405,2026.2725044167337
2022-02-22T00:00:00Z,2006.063980327961,609.136195991937,609.136195991937,609.136195991937,784.9535587722991,784.9535587722991,784.9535587722991,-175.81736278036206,-175.81736278036206,-175.81736278036206,0,0,0,-25.92567906654872,5126.2396840983865,2006.063980327961,2006.063980327961,2615.2001763198978
2022-02-23T00:00:00Z,2006.4994838942814,651.0686235040077,651.0686235040077,651.0686235040077,801.7803570264837,801.7803570264837,801.7803570264837,-150.7117335224758,-150.7117335224758,-150.7117335224758,0,0,0,-109.22557841675956,5517.120204772023,2006.4994838942814,2006.4994838942814,2657.568107398289
2022-02-24T00:00:00Z,2006.9349874606019,710.0945923062477,710.0945923062477,710.0945923062477,832.4274927416246,832.4274927416246,832.4274927416246,-122.33290043537691,-122.33290043537691,-122.33290043537691,0,0,0,-128.10638691457586,5395.7035403554255,2006.9349874606019,2006.9349874606019,2717.0295797668496
2022-02-25T00:00:00Z,2007.370491026922,737.0244810538751,737.0244810538751,737.0244810538751,828.0560808301067,828.0560808301067,828.0560808301067,-91.03159977623152,-91.03159977623152,-91.03159977623152,0,0,0,-144.6169340945074,5471.427885673948,2007.370491026922,2007.370491026922,2744.3949720807973
2022-02-26T00:00:00Z,2007.8059945932425,-1465.7124396129993,-1465.7124396129993,-1465.7124396129993,-1408.4757928556455,-1408.4757928556455,-1408.4757928556455,-57.23664675735409,-57.23664675735409,-57.23664675735409,0,0,0,-2244.7323363790188,3543.6730904841056,2007.8059945932425,2007.8059945932425,542.0935549802432
2022-02-27T00:00:00Z,2008.241498159563,-2078.2159440523865,-2078.2159440523865,-2078.2159440523865,-2056.770894199093,-2056.770894199093,-2056.770894199093,-21.44504985329331,-21.44504985329331,-21.44504985329331,0,0,0,-2900.387863232789,2702.4495319275175,2008.241498159563,2008.241498159563,-69.9744458928235
