ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-02-09T00:00:00Z,1987.2152526486886,-89.10829335863964,-89.10829335863964,-89.10829335863964,-654.3514294665296,-654.3514294665296,-654.3514294665296,753.1712417628141,753.1712417628141,753.1712417628141,-187.92810565492402,-187.92810565492402,-187.92810565492402,0,0,0,-123.24551107140758,4092.6167085358497,1987.2152526486886,1987.2152526486886,1898.106959290049
2022-02-10T00:00:00Z,1987.7493483269534,-2.5315511479370807,-2.5315511479370807,-2.5315511479370807,-637.9072584272132,-637.9072584272132,-637.9072584272132,838.0700496421542,838.0700496421542,838.0700496421542,-202.69434236287802,-202.69434236287802,-202.69434236287802,0,0,0,-203.17430000026633,4174.559232329629,1987.7493483269534,1987.7493483269534,1985.2177971790163
2022-02-11T00:00:00Z,1988.283444005218,50.29788441441446,50.29788441441446,50.29788441441446,-603.0665376459048,-603.0665376459048,-603.0665376459048,870.9616165861853,870.9616165861853,870.9616165861853,-217.59719452586617,-217.59719452586617,-217.59719452586617,0,0,0,-0.9040932683704905,4173.631821848519,1988.283444005218,1988.283444005218,2038.5813284196324
2022-02-12T00:00:00Z,1988.8175396834827,-2109.579288533388,-2109.579288533388,-2109.579288533388,-468.7836305887996,-468.7836305887996,-468.7836305887996,-1408.9806679165697,-1408.9806679165697,-1408.9806679165697,-231.81499002801797,-231.81499002801797,-231.81499002801797,0,0,0,-2157.9249066031134,2235.8133418699013,1988.8175396834827,1988.8175396834827,-120.76174884990542
2022-02-13T00:00:00Z,1989.351635361747,-2590.407191324853,-2590.407191324853,-2590.407191324853,-284.89125736307915,-284.89125736307915,-284.89125736307915,-2060.9747470693187,-2060.9747470693187,-2060.9747470693187,-244.54118689245522,-244.54118689245522,-244.54118689245522,0,0,0,-2685.6027883825536,1695.9264178142896,1989.351635361747,1989.351635361747,-601.0555559631061
2022-02-14T00:00:00Z,1989.8857310400117,-215.75919788052468,-215.75919788052468,-215.75919788052468,-175.2533391597121,-175.2533391597121,-175.2533391597121,214.50219404794035,214.50219404794035,214.50219404794035,-255.00805276875286,-255.00805276875286,-255.00805276875286,0,0,0,-329.68806194107395,3927.0688435302204,1989.8857310400117,1989.8857310400117,1774.126533159487
2022-02-15T00:00:00Z,1990.4198267182762,342.075112318122,342.075112318122,342.075112318122,-188.66613767824362,-188.66613767824362,-188.66613767824362,793.2503129426551,793.2503129426551,793.2503129426551,-262.50906294628953,-262.50906294628953,-262.50906294628953,0,0,0,93.07127783160186,4511.719236724519,1990.4198267182762,1990.4198267182762,2332.494939036398
2022-02-16T00:00:00Z,1990.953922396541,260.05280532950286,260.05280532950286,260.05280532950286,-226.69902453084475,-226.69902453084475,-226.69902453084475,753.1712417629392,753.1712417629392,753.1712417629392,-266.4194119025916,-266.4194119025916,-266.4194119025916,0,0,0,3.4299788781501683,4407.05839035653,1990.953922396541,1990.953922396541,2251.0067277260437
2022-02-17T00:00:00Z,1991.4880180748053,432.4862938861225,432.4862938861225,432.4862938861225,-139.36966521551497,-139.36966521551497,-139.36966521551497,838.0700496428665,838.0700496428665,838.0700496428665,-266.2140905412289,-266.2140905412289,-266.2140905412289,0,0,0,273.0214801917657,4470.442271301473,1991.4880180748053,1991.4880180748053,2423.974311960928
2022-02-18T00:00:00Z,1992.02211375307,714.9259295721507,714.9259295721507,714.9259295721507,105.4473660243908,105.4473660243908,105.4473660243908,870.9616165861546,870.9616165861546,870.9616165861546,-261.48305303839464,-261.48305303839464,-261.48305303839464,0,0,0,594.8937674828194,4741.890002215052,1992.02211375307,1992.02211375307,2706.9480433252206
