ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,holidays,holidays_lower,holidays_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2015-09-19T00:00:00Z,1849.3275135765011,-1365.4219752755077,-1365.4219752755077,-1365.4219752755077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.01972843235666,196.01972843235666,196.01972843235666,0,0,0,-1335.170656698878,-1335.170656698878,-1335.170656698878,-226.2710470089867,-226.2710470089867,-226.2710470089867,0,0,0,-1333.915051178023,2311.964567413906,1849.3275135765011,1849.3275135765011,483.9055383009934
2015-09-20T00:00:00Z,1849.2039979003982,-1509.4333071715594,-1509.4333071715594,-1509.4333071715594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.9528101219105,437.9528101219105,437.9528101219105,0,0,0,-1716.0724554907536,-1716.0724554907536,-1716.0724554907536,-231.31366180271633,-231.31366180271633,-231.31366180271633,0,0,0,-1402.492510653958,2105.8679785815543,1849.2039979003982,1849.2039979003982,339.7706907288389
2015-09-21T00:00:00Z,1849.0804822242953,869.7228571003506,869.7228571003506,869.7228571003506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.2263510495025,790.2263510495025,790.2263510495025,0,0,0,313.3631840839919,313.3631840839919,313.3631840839919,-233.866678033144,-233.866678033144,-233.866678033144,0,0,0,857.4466308297565,4470.413229656587,1849.0804822242953,1849.0804822242953,2718.803339324646
2015-09-22T00:00:00Z,1848.9569665481924,1467.4567155420068,1467.4567155420068,1467.4567155420068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122.0114303470173,1122.0114303470173,1122.0114303470173,0,0,0,579.284030131417,579.284030131417,579.284030131417,-233.83874493642776,-233.83874493642776,-233.83874493642776,0,0,0,1675.9226587298126,5149.00194590705,1848.9569665481924,1848.9569665481924,3316.4136820901995
2015-09-23T00:00:00Z,1848.8334508720895,1724.7941820498345,1724.7941820498345,1724.7941820498345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275.59259575807,1275.59259575807,1275.59259575807,0,0,0,680.3910074686288,680.3910074686288,680.3910074686288,-231.1894211768644,-231.1894211768644,-231.1894211768644,0,0,0,1703.1488296499829,5318.444339453279,1848.8334508720895,1848.8334508720895,3573.627632921924
2015-09-24T00:00:00Z,1848.7099351959864,137.49040332340778,137.49040332340778,137.49040332340778,0,0,0,0,0,0,-1621.240424557823,-1621.240424557823,-1621.240424557823,0,0,0,0,0,0,-1621.240424557823,-1621.240424557823,-1621.240424557823,1179.3661041043763,1179.3661041043763,1179.3661041043763,0,0,0,805.2961840644085,805.2961840644085,805.2961840644085,-225.93146028755433,-225.93146028755433,-225.93146028755433,0,0,0,174.16200138471282,3828.5259774881843,1848.7099351959864,1848.7099351959864,1986.200338519394
2015-09-25T00:00:00Z,1848.5864195198835,1354.018585324363,1354.018585324363,1354.018585324363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899.2416388108207,899.2416388108207,899.2416388108207,0,0,0,672.9087064401597,672.9087064401597,672.9087064401597,-218.13175992661743,-218.13175992661743,-218.13175992661743,0,0,0,1322.6588067397454,4863.749334928639,1848.5864195198835,1848.5864195198835,3202.6050048442467
2015-09-26T00:00:00Z,1848.4629038437804,-957.8084537646794,-957.8084537646794,-957.8084537646794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585.273116507995,585.273116507995,585.273116507995,0,0,0,-1335.1706566979433,-1335.1706566979433,-1335.1706566979433,-207.91091357473107,-207.91091357473107,-207.91091357473107,0,0,0,-852.3207444513982,2754.398181364635,1848.4629038437804,1848.4629038437804,890.654450079101
2015-09-27T00:00:00Z,1848.3393881676775,-1552.2055769977396,-1552.2055769977396,-1552.2055769977396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.30822119523793,359.30822119523793,359.30822119523793,0,0,0,-1716.0724554888084,-1716.0724554888084,-1716.0724554888084,-195.44134270416905,-195.44134270416905,-195.44134270416905,0,0,0,-1468.6668348492494,2139.675215559788,1848.3393881676775,1848.3393881676775,296.13381116993787
2015-09-28T00:00:00Z,1848.2158724915746,369.68182720017455,369.68182720017455,369.68182720017455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2626715155273,237.2626715155273,237.2626715155273,0,0,0,313.3631840821081,313.3631840821081,313.3631840821081,-180.94402839746078,-180.94402839746078,-180.94402839746078,0,0,0,420.71689333840044,4131.157545635137,1848.2158724915746,1848.2158724915746,2217.897699691749
